Campaign,Ad group,Keyword,Match type,Level
LPB - Search - Soissons 60km,Carport,carport metal,Phrase,Ad group
LPB - Search - Soissons 60km,Carport,carport tole,Phrase,Ad group
LPB - Search - Soissons 60km,Carport,carport alu,Phrase,Ad group
LPB - Search - Soissons 60km,Carport,carport aluminium,Phrase,Ad group
LPB - Search - Soissons 60km,Carport,carport borne electrique,Phrase,Ad group
LPB - Search - Soissons 60km,Carport,carport occasion,Phrase,Ad group
LPB - Search - Soissons 60km,Carport,carport pas cher,Phrase,Ad group
LPB - Search - Soissons 60km,Carport,carport kit,Phrase,Ad group
